Value,Variable Name,Class Name,Package Name
"button","button","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"checkbox","checkbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"gridcell","gridcell","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"link","link","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"menuitem","menuitem","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"menuitemcheckbox","menuitemcheckbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"menuitemradio","menuitemradio","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"option","option","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"progressbar","progressbar","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"radio","radio","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"scrollbar","scrollbar","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"searchbox","searchbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"separator","separator","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"slider","slider","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"spinbutton","spinbutton","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"switch","switch_","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"tab","tab","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"tabpanel","tabpanel","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"textbox","textbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"treeitem","treeitem","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"combobox","combobox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"grid","grid","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"listbox","listbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"menu","menu","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"menubar","menubar","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"radiogroup","radiogroup","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"tablist","tablist","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"tree","tree","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"treegrid","treegrid","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"application","application","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"article","article","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"cell","cell","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"columnheader","columnheader","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"definition","definition","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"directory","directory","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"document","document","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"feed","feed","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"figure","figure","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"group","group","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"heading","heading","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"img","img","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"list","list","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"listitem","listitem","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"math","math","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"none","none","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"note","note","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"presentation","presentation","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"row","row","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"rowgroup","rowgroup","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"rowheader","rowheader","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"table","table","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"term","term","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"toolbar","toolbar","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"tooltip","tooltip","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"banner","banner","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"complementary","complementary","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"contentinfo","contentinfo","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"form","form","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"main","main","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"navigation","navigation","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"region","region","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"search","search","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"alert","alert","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"log","log","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"marquee","marquee","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"status","status","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"timer","timer","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"alertdialog","alertdialog","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"dialog","dialog","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"j2html.attributes.Attribute@2c13da15","roleButton","AriaRoles","dev.rebelcraft.j2html.ext.aria"
"j2html.attributes.Attribute@77556fd","roleCheckbox","AriaRoles","dev.rebelcraft.j2html.ext.aria"
